Subprefecture,Neighborhood,Latitude,Longitude,Less than 2 Minimum Wage,From 2 to Less than 5 Minimum Wage,From 5 to Less than 10 Minimum Wage,From 10 to Less than 15 Minimum Wage,From 15 to Less than 25 Minimum Wage,From 25 Minimum Wage and more,Zone,Cluster Labels
Butantã,Morumbi,-23.596498800000003,-46.7178446,4.0,9.05,10.76,5.67,9.95,60.58,West,3
Lapa,Perdizes,-23.5379295,-46.68067051085396,2.7,5.45,12.84,10.72,17.47,50.83,West,3
Pinheiros,Alto de Pinheiros,-23.5494609,-46.71229274842102,3.47,5.44,12.22,9.3,15.85,53.72,West,3
Pinheiros,Itaim Bibi,-23.5843807,-46.6784441,3.87,6.61,12.98,8.83,14.78,52.92,West,3
Pinheiros,Jardim Paulista,-23.567435500000002,-46.663691720625145,2.43,4.04,11.97,9.17,16.61,55.78,West,3
Pinheiros,Pinheiros,-23.5664259,-46.703055400000004,3.77,5.98,14.34,9.6,16.53,49.79,West,3
Santo Amaro,Campo Belo,-23.62673055,-46.66942867841392,4.92,9.48,13.81,9.9,13.45,48.44,South,3
Santo Amaro,Santo Amaro,-23.6562303,-46.7191156,4.17,6.84,16.87,10.41,18.59,43.13,South,3
Sé,Consolação,-23.557818,-46.660537299999994,3.77,8.33,17.19,10.49,15.74,44.47,Center,3
Vila Mariana,Moema,-23.597085,-46.66288839999999,2.91,3.43,9.95,8.55,13.78,61.38,South,3
Vila Mariana,Vila Mariana,-23.5837,-46.632740824206934,2.87,7.03,13.69,9.9,17.47,49.05,South,3
