Subprefecture,Neighborhood,Latitude,Longitude,Less than 2 Minimum Wage,From 2 to Less than 5 Minimum Wage,From 5 to Less than 10 Minimum Wage,From 10 to Less than 15 Minimum Wage,From 15 to Less than 25 Minimum Wage,From 25 Minimum Wage and more,Zone,Cluster Labels
Butantã,Butantã,-23.5690555,-46.721883362670205,4.93,10.6,16.23,12.1,18.25,37.88,West,1
Butantã,Vila Sônia,-23.599771399999998,-46.73920103084962,9.58,16.05,20.05,11.28,13.96,29.07,West,1
Campo Limpo,Vila Andrade,-23.625687,-46.726989399999994,14.15,25.13,17.41,5.5,6.37,31.44,South,1
Capela do Socorro,Socorro,-23.668885,-46.718615,8.65,13.72,24.01,12.82,17.58,23.22,South,1
Lapa,Barra Funda,-23.5254616,-46.6675134,6.66,11.23,23.98,12.87,14.22,31.04,West,1
Lapa,Lapa,-23.521575600000002,-46.7043491,4.89,11.86,20.15,12.25,17.97,32.87,West,1
Lapa,Vila Leopoldina,-23.530072,-46.734319333133975,5.15,19.06,16.64,9.59,15.95,33.61,West,1
Mooca,Mooca,-23.560680800000004,-46.5971924,6.7,13.11,21.07,12.54,18.11,28.48,East,1
Mooca,Tatuapé,-23.540252399999996,-46.5766424,5.92,11.73,18.17,12.14,18.99,33.05,East,1
Santana,Santana,-23.499321,-46.6289326497014,4.9,9.79,19.97,14.06,18.15,33.13,North,1
Santo Amaro,Campo Grande,-23.67554775,-46.68723440008309,5.96,14.0,20.23,11.89,17.63,30.29,South,1
Sé,Bela Vista,-23.5622095,-46.647766487889434,4.81,12.59,23.28,15.33,17.46,26.53,Center,1
Sé,Liberdade,-23.566703500000006,-46.63180928373991,6.47,13.96,21.56,11.52,16.9,29.59,Center,1
Sé,Santa Cecília,-23.5296595,-46.65189388826503,5.53,11.6,23.33,14.45,17.95,27.14,Center,1
Vila Mariana,Saúde,-23.615177950000003,-46.643393343146286,3.96,9.12,17.22,10.84,18.52,40.33,South,1
