Subprefecture,Neighborhood,Latitude,Longitude,Less than 2 Minimum Wage,From 2 to Less than 5 Minimum Wage,From 5 to Less than 10 Minimum Wage,From 10 to Less than 15 Minimum Wage,From 15 to Less than 25 Minimum Wage,From 25 Minimum Wage and more,Zone
Pirituba,Jaraguá,-23.446592000000003,-46.73617751601424,15.66,31.57,32.01,10.77,7.42,2.58,North
Pirituba,Pirituba,-23.485533,-46.7219385,11.94,23.63,27.39,13.39,13.55,10.09,North
Pirituba,São Domingos,-23.493763100000002,-46.745580647521074,9.94,23.88,26.83,12.95,12.93,13.46,North
Santana,Mandaqui,-23.4579405,-46.64124314362752,6.73,15.36,24.64,15.25,17.32,20.7,North
Santana,Santana,-23.499321000000002,-46.6289326497014,4.9,9.79,19.97,14.06,18.15,33.13,North
Santana,Tucuruvi,-23.4800747,-46.6032701,7.27,16.38,24.87,15.11,18.15,18.2,North
Santo Amaro,Campo Belo,-23.626730549999998,-46.66942867841393,4.92,9.48,13.81,9.9,13.45,48.44,South
Santo Amaro,Campo Grande,-23.67554775,-46.687234400083085,5.96,14.0,20.23,11.89,17.63,30.29,South
Santo Amaro,Santo Amaro,-23.6562303,-46.7191156,4.17,6.84,16.87,10.41,18.59,43.13,South
São Mateus,Iguatemi,-23.6182115,-46.418977389793156,22.67,36.89,28.73,6.87,3.43,1.4,East
São Mateus,São Rafael,-23.627159,-46.45324064213981,21.34,35.49,28.48,8.17,4.79,1.74,East
São Mateus,São Mateus,-23.5982995,-46.4817046,15.19,29.02,29.37,12.68,9.81,3.93,East
São Miguel,São Miguel,-23.5026845,-46.43832867511995,17.47,30.4,28.29,10.75,8.87,4.23,East
São Miguel,Jardim Helena,-23.48228355,-46.423410226982504,25.07,36.35,25.61,7.25,4.19,1.53,East
São Miguel,Vila Jacuí,-23.500294,-46.458717352058315,19.02,34.65,28.16,9.23,6.14,2.8,East
Sapopemba,Sapopemba,-23.6043265,-46.5098851,18.08,31.19,30.19,10.75,6.79,3.0,East
Sé,Bela Vista,-23.5622095,-46.64776648788944,4.81,12.59,23.28,15.33,17.46,26.53,Center
Sé,Bom Retiro,-23.5271385,-46.636834846501365,10.2,20.04,24.7,14.7,15.57,14.79,Center
Sé,Cambuci,-23.566128499999998,-46.61365030871091,7.77,15.6,23.26,14.99,17.7,20.68,Center
Sé,Consolação,-23.557818,-46.6605373,3.77,8.33,17.19,10.49,15.74,44.47,Center
Sé,Liberdade,-23.566703500000003,-46.63180928373991,6.47,13.96,21.56,11.52,16.9,29.59,Center
Sé,República,-23.545334500000003,-46.64225711835967,8.09,16.69,31.18,15.64,14.93,13.46,Center
Sé,Santa Cecília,-23.5296595,-46.65189388826502,5.53,11.6,23.33,14.45,17.95,27.14,Center
Sé,Sé,-23.5504428,-46.6334463,11.02,25.04,31.85,14.56,10.45,7.09,Center
Vila Maria/Vila Guilherme,Vila Guilherme,-23.5170972,-46.6079618,8.79,18.24,27.99,15.52,14.95,14.51,North
Vila Maria/Vila Guilherme,Vila Maria,-23.5131836,-46.5891557,12.26,27.16,29.32,12.11,10.93,8.22,North
Vila Maria/Vila Guilherme,Vila Medeiros,-23.487707,-46.5844955,12.32,24.21,31.25,13.8,11.97,6.45,North
Vila Mariana,Moema,-23.597085,-46.6628884,2.91,3.43,9.95,8.55,13.78,61.38,South
Vila Mariana,Saúde,-23.615177950000003,-46.643393343146286,3.96,9.12,17.22,10.84,18.52,40.33,South
Vila Mariana,Vila Mariana,-23.5837,-46.632740824206934,2.87,7.03,13.69,9.9,17.47,49.05,South
Vila Prudente,São Lucas,-23.594946,-46.545899798292474,11.43,22.31,28.44,14.5,13.85,9.46,East
Vila Prudente,Vila Prudente,-23.592335,-46.57496141835203,10.43,21.42,27.28,12.52,13.92,14.43,East
