Subprefecture,Neighborhood,Latitude,Longitude,Less than 2 Minimum Wage,From 2 to Less than 5 Minimum Wage,From 5 to Less than 10 Minimum Wage,From 10 to Less than 15 Minimum Wage,From 15 to Less than 25 Minimum Wage,From 25 Minimum Wage and more,Zone,Cluster Labels
Aricanduva,Carrão,-23.5515305,-46.53779076894042,9.18,18.17,25.82,14.91,16.35,15.58,East,2
Aricanduva,Vila Formosa,-23.566876399999998,-46.5463233,8.1,20.08,28.69,13.91,13.08,16.14,East,2
Butantã,Rio Pequeno,-23.5685049,-46.75685697298139,11.8,22.0,22.77,12.38,13.08,17.96,West,2
Casa Verde,Casa Verde,-23.5059269,-46.6561379,8.51,19.05,28.32,13.74,14.49,15.9,North,2
Casa Verde,Limão,-23.503314899999996,-46.6752722,11.3,24.8,25.49,14.25,13.54,10.62,North,2
Freguesia do Ó,Freguesia do Ó,-23.4874636,-46.695131700000005,11.2,21.92,28.19,13.88,14.04,10.78,North,2
Ipiranga,Cursino,-23.632301100000003,-46.619562906547785,8.17,16.65,24.17,13.86,15.21,21.93,South,2
Ipiranga,Ipiranga,-23.58927255,-46.60616206667652,9.68,20.11,23.56,13.37,14.64,18.64,South,2
Ipiranga,Sacomã,-23.6012824,-46.602555200000005,12.16,23.27,28.38,12.81,12.92,10.47,South,2
Jabaquara,Jabaquara,-23.6520656,-46.650037329076994,10.27,20.27,24.48,13.51,13.56,17.91,South,2
Lapa,Jaguara,-23.507445999999998,-46.7553150946776,9.64,21.17,30.03,14.78,14.51,9.88,West,2
Lapa,Jaguaré,-23.5420355,-46.74949925025803,12.37,22.34,24.14,9.63,14.54,16.99,West,2
Mooca,Água Rasa,-23.5653715,-46.57369718912304,8.33,17.31,26.6,14.01,15.96,17.78,East,2
Mooca,Belém,-23.5348833,-46.59493870000001,7.77,17.08,24.51,14.79,16.11,19.74,East,2
Mooca,Brás,-23.5453263,-46.6164435,10.27,19.34,31.06,15.23,11.64,12.46,East,2
Mooca,Pari,-23.532976,-46.615848799999995,10.84,20.53,24.98,14.91,14.95,13.8,East,2
Penha,Penha,-23.523683,-46.5437815,11.25,21.04,26.39,14.51,13.76,13.05,East,2
Penha,Vila Matilde,-23.536179,-46.524605,10.26,22.29,28.47,14.83,14.01,10.16,East,2
Pirituba,Pirituba,-23.485533,-46.7219385,11.94,23.63,27.39,13.39,13.55,10.09,North,2
Pirituba,São Domingos,-23.4937631,-46.74558064752107,9.94,23.88,26.83,12.95,12.93,13.46,North,2
Santana,Mandaqui,-23.4579405,-46.64124314362752,6.73,15.36,24.64,15.25,17.32,20.7,North,2
Santana,Tucuruvi,-23.4800747,-46.6032701,7.27,16.38,24.87,15.11,18.15,18.2,North,2
Sé,Bom Retiro,-23.5271385,-46.63683484650137,10.2,20.04,24.7,14.7,15.57,14.79,Center,2
Sé,Cambuci,-23.5661285,-46.61365030871091,7.77,15.6,23.26,14.99,17.7,20.68,Center,2
Sé,República,-23.545334500000006,-46.64225711835967,8.09,16.69,31.18,15.64,14.93,13.46,Center,2
Vila Maria/Vila Guilherme,Vila Guilherme,-23.5170972,-46.6079618,8.79,18.24,27.99,15.52,14.95,14.51,North,2
Vila Prudente,São Lucas,-23.594946,-46.545899798292474,11.43,22.31,28.44,14.5,13.85,9.46,East,2
Vila Prudente,Vila Prudente,-23.592335000000002,-46.57496141835203,10.43,21.42,27.28,12.52,13.92,14.43,East,2
